# MEAN_SAMPLE_SIZE = 83724
# TOTAL_GENES = 18514
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      75     0.010625   0.00067489      0.12187      0.46526 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11    -0.068774   -0.0016759      0.32347      0.58418 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      30     0.019651   0.00079042       0.1716      0.45441 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50    -0.032667   -0.0016954      0.15093      0.58568 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52     -0.23926    -0.012663      0.13645      0.96023 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.81223     0.015791      0.46289     0.039664 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45     -0.19832   -0.0097656      0.17694      0.86881 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      53      0.12268    0.0065544      0.15786      0.21855 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      63      0.23629     0.013761      0.12212     0.026507 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36     0.045074    0.0019857      0.17674      0.39935 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      45      0.12363     0.006088      0.15459      0.21194 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      26      0.21136    0.0079151      0.20028      0.14565 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     615     0.019381    0.0034733     0.041212      0.31908 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     921     0.020683    0.0044969     0.038785      0.29693 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     351    0.0086394    0.0011783     0.053576      0.43595 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.012604  -0.00055528      0.16075      0.53125 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8     -0.20337   -0.0042267      0.32081      0.73693 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      93      0.18143     0.012827      0.10517     0.042266 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1010    0.0031415   0.00071347     0.037037       0.4662 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     721     0.061938     0.011983      0.03794     0.051293 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     208     0.013111    0.0013819     0.069482      0.42516 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     930     0.051516     0.011253     0.034908     0.070011 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     172     0.044623    0.0042811     0.077957      0.28353 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     274      0.12499     0.015092     0.062726     0.023162 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     579      0.02014    0.0035056     0.049725      0.34273 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     143   -0.0012981  -0.00011365     0.083046      0.50624 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     699     0.085689     0.016333      0.03992     0.015924 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     887     0.045299     0.009675     0.039778       0.1274 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48      0.14229    0.0072361      0.17114      0.20286 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.33282    -0.012934      0.18091      0.96708 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     377     0.010491    0.0014818     0.054175      0.42322 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28    -0.058014   -0.0022545      0.21094      0.60835 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     0.036728    0.0012065      0.26335      0.44454 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      27     -0.34323    -0.013098      0.20868      0.94998 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.11453    0.0023803      0.40677      0.38914 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     517    -0.026326   -0.0043376     0.044992      0.72077 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.10706   -0.0015736      0.58028      0.57319 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56    -0.067786   -0.0037225      0.14864      0.67582 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      35      0.14656    0.0063666      0.17099      0.19569 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      42      0.10317    0.0049083      0.16191      0.26201 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24   -0.0030421  -0.00010946      0.21345      0.50569 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163    0.0047765   0.00044622     0.087805      0.47831 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     192     -0.15273    -0.015473     0.076117      0.97759 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
